Task,Alt,Salary,Location,CompanyType,Growth,WorkLife,JobSecurity,Chosen
1,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
1,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
2,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
2,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
3,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
3,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
4,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
4,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
5,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
5,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
6,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
6,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
7,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
7,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
8,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
8,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
9,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
9,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
10,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
10,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
11,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
11,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
12,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
12,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
13,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
13,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
14,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
14,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
15,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
15,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
16,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
16,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
17,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
17,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
18,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
18,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
19,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
19,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
20,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
20,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
21,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
21,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
22,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
22,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
23,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
23,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
24,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
24,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
25,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
25,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
26,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
26,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
27,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
27,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
28,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
28,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
29,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
29,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
30,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
30,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
31,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
31,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
32,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
32,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
33,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
33,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
34,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
34,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
35,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
35,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
36,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
36,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
37,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
37,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
38,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
38,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
39,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
39,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
40,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
40,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
41,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
41,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
42,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
42,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
43,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
43,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
44,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
44,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
45,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
45,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
46,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
46,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
47,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
47,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
48,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
48,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
49,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
49,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
50,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
50,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
51,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
51,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
52,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
52,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
53,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
53,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
54,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
54,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
55,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
55,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
56,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
56,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
57,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
57,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
58,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
58,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
59,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
59,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
60,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
60,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
61,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
61,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
62,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
62,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
63,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
63,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
64,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
64,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
65,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
65,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
66,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
66,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
67,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
67,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
68,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
68,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
69,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
69,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
70,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
70,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
71,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
71,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
72,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
72,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
73,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
73,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
74,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
74,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
75,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
75,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
76,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
76,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
77,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
77,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
78,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
78,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
79,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
79,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
80,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
80,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
81,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
81,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
82,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
82,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
83,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
83,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
84,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
84,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
85,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
85,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
86,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
86,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
87,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
87,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
88,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
88,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
89,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
89,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
90,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
90,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
91,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
91,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
92,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
92,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
93,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
93,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
94,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
94,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
95,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
95,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
96,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
96,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
97,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
97,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
98,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
98,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
99,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
99,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
100,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
100,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
101,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
101,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
102,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
102,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
103,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
103,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
104,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
104,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
105,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
105,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
106,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
106,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
107,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
107,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
108,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
108,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
109,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
109,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
110,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
110,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
111,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
111,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
112,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
112,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
113,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
113,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
114,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
114,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
115,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
115,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
116,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
116,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
117,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
117,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
118,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
118,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
119,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
119,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
120,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
